Tahap,Proses,Hasil
1,"Input Data (x, y)","x = ""Aplikasi BPJS sering error saat mau daftar antrian, tolong diperbaiki.""; y = keluhan"
2,Preprocessing,"""aplikasi bpjs error daftar antre tolong baik"""
3,Ekstraksi Fitur TF-IDF,"10 fitur aktif dari 16,044 dimensi"
4,Seleksi Fitur Chi-Square,"10 fitur lolos dari 8,000 fitur terpilih"
5,Inisialisasi f0(x),"P awal = [0.5260000228881836, 0.4729999899864197, 0.0010000000474974513]"
6,Gradient & Hessian (iterasi 1),"g = [-0.474, 0.473, 0.001], h = [0.24899999797344208, 0.24899999797344208, 0.0010000000474974513]"
7,Pohon ke-1 (struktur asli),Lihat dump pohon pada Tahap 7
8,Akumulasi skor per iterasi,"Skor akhir = [1.25, 1.1449999809265137, -4.7179999351501465]"
9,Softmax,"P = [0.5260000228881836, 0.4729999899864197, 0.0010000000474974513]"
10,Prediksi Kelas,keluhan (benar vs label aktual keluhan)
