id,ownerUsername,postUrl,label_pks,label_enc,confidence,text
1.81e+16,must_ayok,https://www.instagram.com/bakom.ri/p/DPgCdS9D69B/,keluhan,0,1.0,Ya Allah segera beri azab dan binasakan orang yang sudah membuat anak keracunan
1.83e+16,fakhrul.agam,https://www.instagram.com/bpjskesehatan_ri/reel/DNIg2bgI-l5/,keluhan,0,1.0,admin saya sudah mengajukan perubahan nama di WA Pandawa dan sudah berhasil tapi kenapa di aplikasi jkn belum berubah juga?
1.81e+16,susibariyatun,https://www.instagram.com/badangizinasional.ri/p/DNW6qmJpVN1/,pujian,2,1.0,Dirgahayu badan gizi nasional sukses selalu
1.83e+16,muslimbayudi,https://www.instagram.com/bakom.ri/reel/DPVGflWj-lE/,saran,1,1.0,kalau mau komplain sppg kemnaa?
1.79e+16,ardan.all51,https://www.instagram.com/sppgcimalaka/p/DOr3qMvkwR5/,saran,1,1.0,"Harapan pak Prabowo kayak gitu,"
1.79e+16,rejuvinasikopi,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,saran,1,1.0,tidak usah bayar pajak kalau kalian merasa susah. Mereka kerja itu untuk kita biar tidak ribet bayar pajaknya.
1.84e+16,anisshaqila_123,https://www.instagram.com/bpjskesehatan_ri/reel/DNDV5_gBBWO/,pujian,2,1.0,senang senang mantap jiwaa edukasinya
1.81e+16,ekaputriandi,https://www.instagram.com/ditjenpajakri/p/DPQjaH5ktZj/,keluhan,0,1.0,tidak bisa Login.. marah
1.81e+16,ghinalfiyyah,https://www.instagram.com/bpjskesehatan_ri/p/DON4AFWE0X6/,pujian,2,1.0,senang senang senang
1.79e+16,just_meyyyy29,https://www.instagram.com/badangizinasional.ri/reel/DNW4DjIyMyY/,pujian,2,1.0,Dirgahayu Badan Gizi Nasional
1.81e+16,shhdumpiess,https://www.instagram.com/sppgcimalaka/p/DOr3qMvkwR5/,pujian,2,1.0,kok enak
1.81e+16,yusi_ardirestika,https://www.instagram.com/bpjskesehatan\_ri/p/DPxoS2YDRK5/,saran,1,1.0,Selamat pagi Min.. Maaf admin izin bertanya kalau kita mau jadi dokter keluarga bagaimana cara dan syaratnya Min? Harus tanyabmapping dulukah Min?? terima kasih
